threads,cycles,instructions.floatingPointInstructions,timeElapsed
1,21460871343,27403553701,6750000001,5.179029425
1,22151799238,27402618125,6750000001,5.360403097
1,21109581399,27403623542,6750000001,5.094320791
2,21121948274,27406737553,6750000001,2.623612742
2,21476394277,27406400466,6750000001,2.665613702
2,21752860308,27407752462,6750000001,2.696462118
4,22584838108,27414018950,6750000001,1.462501931
4,22197261901,27413959852,6750000001,1.454137080
4,21259654881,27412373903,6750000001,1.394503553
8,95535730119,27468343056,6750000001,3.115703255
8,95816461167,27467894552,6750000001,3.114902909
8,96419070848,27465127729,6750000001,3.137245774
16,95648467586,27444203518,6750000001,3.158810005
16,95733667848,27444414857,6750000001,3.185735976
16,94482079782,27443995698,6750000001,3.154066174
32,95907806913,27450871174,6750000001,3.138711617
32,96242783380,27450596654,6750000001,3.176995297
32,96410598826,27453178061,6750000001,3.351341290
64,95910813575,27465913357,6750000001,3.313489536
64,96030420631,27467804505,6750000001,3.349197512
64,95953107211,27468176654,6750000001,3.323759171
128,96223962778,27482471080,6750000001,3.322205027
128,96142288339,27476320171,6750000001,3.133165673
128,96207852342,27477997483,6750000001,3.146689432
256,95891678745,27501250862,6750000001,3.148583325
256,96137914849,27499485153,6750000001,3.117092810
256,96415355422,27503663550,6750000001,3.184451458
512,95166320144,27554557991,6750000001,3.326490786
512,95406466545,27577513878,6750000001,3.826700679
512,95921218813,27549763329,6750000001,3.432541584
1024,95113628217,27612421849,6750000001,3.114628275
1024,94929552748,27615161305,6750000001,3.096855064
1024,95144742943,27607141916,6750000001,3.084910526
2048,94631264402,27741245342,6750000001,3.114224980
2048,95140605472,27757648689,6750000001,3.281151216
2048,94914418142,27747466712,6750000001,3.724758676
4096,95155323874,28016372105,6750000001,3.381307640
4096,95222226648,27996845534,6750000001,3.175306282
4096,95837870754,28003866985,6750000001,3.169472855
8192,96782703302,28510846478,6750000001,3.324088943
8192,96593813683,28539401401,6750000001,3.327221538
8192,97279561537,28528107115,6750000001,3.472062946
