threads,cycles,instructions,floatingPointInstructions,timeElapsed
1,13712951269,24030158641,6750000001,4.715504894
1,13707431805,24030035738,6750000001,4.695691988
1,13711550692,24030119004,6750000001,4.706201624
2,13813149863,24034894639,6750000001,2.488312964
2,13810996685,24035332050,6750000001,2.522341245
2,13841098608,24035394852,6750000001,2.527197456
4,13959039946,24042710312,6750000001,1.378900710
4,13937736220,24041808352,6750000001,1.376249717
4,14011291552,24041964101,6750000001,1.397533865
8,14236060797,24057864550,6750000001,0.794572017
8,14244697559,24057672858,6750000001,0.792459244
8,14244632762,24058521620,6750000001,0.779222918
16,15047013651,24086348876,6750000001,0.502539600
16,15027456079,24085951350,6750000001,0.491227892
16,15041763780,24086855939,6750000001,0.491342420
32,14192268806,24045663121,6750000001,0.450964211
32,14189926129,24045208271,6750000001,0.445374537
32,14184098223,24044632655,6750000001,0.441858770
64,14239271979,24051288487,6750000001,0.439980496
64,14215997274,24050849894,6750000001,0.439294538
64,14218090306,24051155664,6750000001,0.420969355
128,14264357127,24061945450,6750000001,0.429790437
128,14249489332,24061542374,6750000001,0.439331524
128,14262761268,24061392958,6750000001,0.440667793
256,14325859029,24081009798,6750000001,0.459461973
256,14314220826,24081302763,6750000001,0.435757060
256,14306319133,24081079249,6750000001,0.440707823
512,14402724146,24114780997,6750000001,0.445086227
512,14392742657,24115579844,6750000001,0.466607358
512,14353491755,24111327764,6750000001,0.441467721
1024,14552554401,24178305649,6750000001,0.480032989
1024,14602871561,24180279952,6750000001,0.469363296
1024,14562550837,24177841610,6750000001,0.482068449
2048,14954754067,24304995788,6750000001,0.513062327
2048,14964938805,24307488325,6750000001,0.511771163
2048,14977917754,24306326119,6750000001,0.522008944
4096,15558755350,24546429190,6750000001,0.591176698
4096,15721850172,24562721279,6750000001,0.599933099
4096,15731570746,24559807646,6750000001,0.590693019
8192,17330774030,25079762750,6750000001,0.758544121
8192,17341268689,25081180387,6750000001,0.768333571
8192,16825573678,25011215058,6750000001,0.739906661
