threads,cycles,instructions.floatingPointInstructions,timeElapsed
1,18368579557,27405156894,6750000001,6.311500118
1,18391423835,27406030161,6750000001,6.293364826
1,18467601717,27405112245,6750000001,6.315790086
2,17965105662,27408471861,6750000001,3.232958834
2,18405162110,27410002906,6750000001,3.308298889
2,19505145307,27410444832,6750000001,3.491736695
4,18589609214,27415892671,6750000001,1.808540319
4,18392014898,27419582051,6750000001,1.789814807
4,20740283017,27421108627,6750000001,2.024237059
8,19221016292,27431372902,6750000001,1.030860820
8,18597991133,27430051704,6750000001,1.011704549
8,18751773071,27439335092,6750000001,1.040679775
16,41736317835,27487734035,6750000001,1.486804824
16,42441564696,27488208733,6750000001,1.602197438
16,39627126775,27486123883,6750000001,1.479883804
32,91820414073,27461592653,6750000001,2.052163046
32,91770279855,27462590424,6750000001,2.099531335
32,91087248891,27461872333,6750000001,2.132382588
64,93363921872,27475263405,6750000001,2.072269478
64,92660885757,27476736669,6750000001,2.040524464
64,92135783427,27479560161,6750000001,2.057107249
128,94081158049,27494839172,6750000001,2.065014077
128,93923279967,27494917559,6750000001,2.038453200
128,93664878941,27494139118,6750000001,2.055161148
256,94078413669,27520286278,6750000001,2.090683914
256,94066575541,27521142893,6750000001,2.096168158
256,94177829996,27521167588,6750000001,2.057599694
512,93609786540,27563574353,6750000001,2.078970823
512,93866556324,27561294874,6750000001,2.069591371
512,94341834461,27565569807,6750000001,2.055801829
1024,94143490606,27629324669,6750000001,2.091916647
1024,94292088459,27629109282,6750000001,2.090175496
1024,94248816729,27635386054,6750000001,2.080946500
2048,94049926009,27766958123,6750000001,2.118393444
2048,94244065764,27764550725,6750000001,2.108526279
2048,94539185062,27764964657,6750000001,2.114031114
4096,95397516114,28020675116,6750000001,2.195631691
4096,95335157008,28031408032,6750000001,2.185408422
4096,95189953358,28019228489,6750000001,2.193956821
8192,97674708006,28548404162,6750000001,2.376323257
8192,98025517746,28551830863,6750000001,2.418727756
8192,97727207103,28539936461,6750000001,2.391107908
