test_type,partition,run,worker,node,communication_time,computation_time,total_time
Bn5,i7-7700,1,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,1,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.02,0.04
Bn5,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
Bn5,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.06
Bn5,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.06
Bn5,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.05,0.06
Bn5,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.05,0.06
Bn9,i7-7700,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.08,0.06,0.16
Bn9,i7-7700,1,7,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.05,0.16
Bn9,i7-7700,1,4,soctf-pdc-012.d1.comp.nus.edu.sg,0.09,0.06,0.16
Bn9,i7-7700,1,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.07,0.16
Bn9,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.08,0.07,0.16
Bn9,i7-7700,1,6,soctf-pdc-012.d1.comp.nus.edu.sg,0.09,0.06,0.16
Bn9,i7-7700,1,5,soctf-pdc-012.d1.comp.nus.edu.sg,0.09,0.07,0.16
Bn9,i7-7700,1,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.06,0.16
Bn9,i7-7700,2,7,soctf-pdc-012.d1.comp.nus.edu.sg,0.08,0.06,0.15
Bn9,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.06,0.15
Bn9,i7-7700,2,4,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.05,0.15
Bn9,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.07,0.15
Bn9,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.08,0.15
Bn9,i7-7700,2,5,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.07,0.15
Bn9,i7-7700,2,6,soctf-pdc-012.d1.comp.nus.edu.sg,0.06,0.07,0.15
Bn9,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.08,0.15
Bn9,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.09,0.07,0.18
Bn9,i7-7700,3,5,soctf-pdc-012.d1.comp.nus.edu.sg,0.12,0.05,0.18
Bn9,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.06,0.18
Bn9,i7-7700,3,4,soctf-pdc-012.d1.comp.nus.edu.sg,0.11,0.07,0.18
Bn9,i7-7700,3,6,soctf-pdc-012.d1.comp.nus.edu.sg,0.08,0.07,0.18
Bn9,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.06,0.18
Bn9,i7-7700,3,7,soctf-pdc-012.d1.comp.nus.edu.sg,0.09,0.07,0.18
Bn9,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.07,0.18
Bn9,i7-7700,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.06,0.18
Bn9,i7-7700,4,5,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.06,0.18
Bn9,i7-7700,4,7,soctf-pdc-012.d1.comp.nus.edu.sg,0.11,0.05,0.18
Bn9,i7-7700,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.06,0.18
Bn9,i7-7700,4,4,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.07,0.18
Bn9,i7-7700,4,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.07,0.18
Bn9,i7-7700,4,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.09,0.07,0.18
Bn9,i7-7700,4,6,soctf-pdc-012.d1.comp.nus.edu.sg,0.10,0.07,0.18
Bn9,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.06,0.15
Bn9,i7-7700,5,5,soctf-pdc-012.d1.comp.nus.edu.sg,0.09,0.05,0.15
Bn9,i7-7700,5,7,soctf-pdc-012.d1.comp.nus.edu.sg,0.08,0.06,0.15
Bn9,i7-7700,5,4,soctf-pdc-012.d1.comp.nus.edu.sg,0.08,0.07,0.15
Bn9,i7-7700,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.08,0.05,0.15
Bn9,i7-7700,5,6,soctf-pdc-012.d1.comp.nus.edu.sg,0.07,0.07,0.15
