test_type,partition,run,worker,node,communication_time,computation_time,total_time
A,i7-7700,1,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,33.00,33.24
A,i7-7700,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,33.01,33.24
A,i7-7700,1,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.49,32.75,33.24
A,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.54,32.70,33.24
A,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.24,32.84,33.11
A,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.24,32.86,33.11
A,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.31,32.79,33.11
A,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.31,32.79,33.11
Bn9,i7-7700,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,27.79,0.06,27.89
Bn9,i7-7700,1,2,soctf-pdc-012.d1.comp.nus.edu.sg,27.78,0.07,27.89
Bn9,i7-7700,1,5,soctf-pdc-012.d1.comp.nus.edu.sg,27.82,0.06,27.89
Bn9,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,27.81,0.07,27.89
Bn9,i7-7700,1,7,soctf-pdc-012.d1.comp.nus.edu.sg,27.84,0.04,27.89
Bn9,i7-7700,1,0,soctf-pdc-012.d1.comp.nus.edu.sg,27.82,0.06,27.89
Bn9,i7-7700,1,4,soctf-pdc-012.d1.comp.nus.edu.sg,27.83,0.06,27.89
Bn9,i7-7700,1,6,soctf-pdc-012.d1.comp.nus.edu.sg,27.84,0.06,27.89
Bn9,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,27.69,0.06,27.80
Bn9,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,27.74,0.05,27.80
Bn9,i7-7700,2,5,soctf-pdc-012.d1.comp.nus.edu.sg,27.74,0.06,27.80
Bn9,i7-7700,2,6,soctf-pdc-012.d1.comp.nus.edu.sg,27.75,0.05,27.80
Bn9,i7-7700,2,7,soctf-pdc-012.d1.comp.nus.edu.sg,27.74,0.05,27.80
Bn9,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,27.74,0.06,27.80
Bn9,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,27.73,0.07,27.80
Bn9,i7-7700,2,4,soctf-pdc-012.d1.comp.nus.edu.sg,27.73,0.06,27.80
Bn9,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,28.56,0.06,28.71
Bn9,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,28.58,0.06,28.71
Bn9,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,28.60,0.05,28.71
Bn9,i7-7700,3,5,soctf-pdc-012.d1.comp.nus.edu.sg,28.66,0.03,28.71
Bn9,i7-7700,3,7,soctf-pdc-012.d1.comp.nus.edu.sg,28.67,0.03,28.71
Bn9,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,28.65,0.06,28.71
Bn9,i7-7700,3,6,soctf-pdc-012.d1.comp.nus.edu.sg,28.65,0.04,28.71
Bn9,i7-7700,3,4,soctf-pdc-012.d1.comp.nus.edu.sg,28.65,0.06,28.71
Bn9,i7-7700,4,4,soctf-pdc-012.d1.comp.nus.edu.sg,27.84,0.05,27.93
Bn9,i7-7700,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,27.82,0.06,27.93
Bn9,i7-7700,4,6,soctf-pdc-012.d1.comp.nus.edu.sg,27.89,0.04,27.93
Bn9,i7-7700,4,0,soctf-pdc-012.d1.comp.nus.edu.sg,27.86,0.05,27.93
Bn9,i7-7700,4,7,soctf-pdc-012.d1.comp.nus.edu.sg,27.89,0.03,27.93
Bn9,i7-7700,4,5,soctf-pdc-012.d1.comp.nus.edu.sg,27.86,0.06,27.93
Bn9,i7-7700,4,2,soctf-pdc-012.d1.comp.nus.edu.sg,27.87,0.07,27.93
Bn9,i7-7700,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,27.87,0.07,27.93
Bn9,i7-7700,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,28.20,0.07,28.30
Bn9,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,28.21,0.07,28.30
